ABN_ADJ;Albionic;Albionic;Albionic;;;;;;;;;;;x;
ABN;New Albion;New Albion;New Albion;;;;;;;;;;;x;
ABN_proletarian_dictatorship;New Albion;New Albion;New Albion;;;;;;;;;;;x;
ABN_presidential_dictatorship;New Albion;New Albion;New Albion;;;;;;;;;;;x;
ABN_bourgeois_dictatorship;New Albion;New Albion;New Albion;;;;;;;;;;;x;
ABN_fascist_dictatorship;New Albion;New Albion;New Albion;;;;;;;;;;;x;
ABN_absolute_monarchy;New Albion;New Albion;New Albion;;;;;;;;;;;x;
ABN_prussian_constitutionalism;New Albion;New Albion;New Albion;;;;;;;;;;;x;
ABN_hms_government;New Albion;New Albion;New Albion;;;;;;;;;;;x;
ABN_democracy;New Albion;New Albion;New Albion;;;;;;;;;;;x;
ABN_theocracy;New Albion;New Albion;New Albion;;;;;;;;;;;x;
ABN_merchant_republic;New Albion;New Albion;New Albion;;;;;;;;;;;x;
ABN_feudal_monarchy;New Albion;New Albion;New Albion;;;;;;;;;;;x;
ABN_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
ABN_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
ABN_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
ABN_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
ABN_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
ABN_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
ABN_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
ABN_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
ABN_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
