AMJ_ADJ;Andarian;Andarian;Andarian;;;;;;;;;;;x;
AMJ;Andara;Andara;Andara;;;;;;;;;;;x;
AMJ_proletarian_dictatorship;Andara;Andara;Andara;;;;;;;;;;;x;
AMJ_presidential_dictatorship;Andara;Andara;Andara;;;;;;;;;;;x;
AMJ_bourgeois_dictatorship;Andara;Andara;Andara;;;;;;;;;;;x;
AMJ_fascist_dictatorship;Andara;Andara;Andara;;;;;;;;;;;x;
AMJ_absolute_monarchy;Andara;Andara;Andara;;;;;;;;;;;x;
AMJ_prussian_constitutionalism;Andara;Andara;Andara;;;;;;;;;;;x;
AMJ_hms_government;Andara;Andara;Andara;;;;;;;;;;;x;
AMJ_democracy;Andara;Andara;Andara;;;;;;;;;;;x;
AMJ_theocracy;Andara;Andara;Andara;;;;;;;;;;;x;
AMJ_merchant_republic;Andara;Andara;Andara;;;;;;;;;;;x;
AMJ_feudal_monarchy;Andara;Andara;Andara;;;;;;;;;;;x;
AMJ_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
AMJ_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
AMJ_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
AMJ_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
AMJ_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
AMJ_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
AMJ_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
AMJ_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
AMJ_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
