CLB_ADJ;Colombian;Colombian;Colombian;;;;;;;;;;;x;
CLB;Colombique;Colombique;Colombique;;;;;;;;;;;x;
CLB_proletarian_dictatorship;Colombique;Colombique;Colombique;;;;;;;;;;;x;
CLB_presidential_dictatorship;Colombique;Colombique;Colombique;;;;;;;;;;;x;
CLB_bourgeois_dictatorship;Colombique;Colombique;Colombique;;;;;;;;;;;x;
CLB_fascist_dictatorship;Colombique;Colombique;Colombique;;;;;;;;;;;x;
CLB_absolute_monarchy;Colombique;Colombique;Colombique;;;;;;;;;;;x;
CLB_prussian_constitutionalism;Colombique;Colombique;Colombique;;;;;;;;;;;x;
CLB_hms_government;Colombique;Colombique;Colombique;;;;;;;;;;;x;
CLB_democracy;Colombique;Colombique;Colombique;;;;;;;;;;;x;
CLB_theocracy;Colombique;Colombique;Colombique;;;;;;;;;;;x;
CLB_merchant_republic;Colombique;Colombique;Colombique;;;;;;;;;;;x;
CLB_feudal_monarchy;Colombique;Colombique;Colombique;;;;;;;;;;;x;
CLB_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
CLB_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
CLB_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
CLB_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
CLB_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
CLB_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
CLB_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
CLB_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
CLB_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
