CLT_ADJ;Celtic;Celtic;Celtic;;;;;;;;;;;x;
CLT;Celtica;Celtica;Celtica;;;;;;;;;;;x;
CLT_proletarian_dictatorship;Celtic Workers' Union;Celtic Workers' Union;Celtic Workers' Union;;;;;;;;;;;x;
CLT_presidential_dictatorship;Celtica;Celtica;Celtica;;;;;;;;;;;x;
CLT_bourgeois_dictatorship;Celtica;Celtica;Celtica;;;;;;;;;;;x;
CLT_fascist_dictatorship;Great Albion;Great Albion;Great Albion;;;;;;;;;;;x;
CLT_absolute_monarchy;Celtica;Celtica;Celtica;;;;;;;;;;;x;
CLT_prussian_constitutionalism;Celtica;Celtica;Celtica;;;;;;;;;;;x;
CLT_hms_government;Celtica;Celtica;Celtica;;;;;;;;;;;x;
CLT_democracy;Celtica;Celtica;Celtica;;;;;;;;;;;x;
CLT_theocracy;Celtica;Celtica;Celtica;;;;;;;;;;;x;
CLT_merchant_republic;Celtica;Celtica;Celtica;;;;;;;;;;;x;
CLT_feudal_monarchy;Celtica;Celtica;Celtica;;;;;;;;;;;x;
CLT_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
CLT_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
CLT_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
CLT_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
CLT_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
CLT_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
CLT_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
CLT_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
CLT_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
