FRH_ADJ;Franco-Rheinish;Franco-Rheinish;Franco-Rheinish;;;;;;;;;;;x;
FRH;French Rheinland;French Rheinland;French Rheinland;;;;;;;;;;;x;
FRH_proletarian_dictatorship;French Rheinland;French Rheinland;French Rheinland;;;;;;;;;;;x;
FRH_presidential_dictatorship;French Rheinland;French Rheinland;French Rheinland;;;;;;;;;;;x;
FRH_bourgeois_dictatorship;French Rheinland;French Rheinland;French Rheinland;;;;;;;;;;;x;
FRH_fascist_dictatorship;French Rheinland;French Rheinland;French Rheinland;;;;;;;;;;;x;
FRH_absolute_monarchy;French Rheinland;French Rheinland;French Rheinland;;;;;;;;;;;x;
FRH_prussian_constitutionalism;French Rheinland;French Rheinland;French Rheinland;;;;;;;;;;;x;
FRH_hms_government;French Rheinland;French Rheinland;French Rheinland;;;;;;;;;;;x;
FRH_democracy;French Rheinland;French Rheinland;French Rheinland;;;;;;;;;;;x;
FRH_theocracy;French Rheinland;French Rheinland;French Rheinland;;;;;;;;;;;x;
FRH_merchant_republic;French Rheinland;French Rheinland;French Rheinland;;;;;;;;;;;x;
FRH_feudal_monarchy;French Rheinland;French Rheinland;French Rheinland;;;;;;;;;;;x;
FRH_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
FRH_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
FRH_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
FRH_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
FRH_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
FRH_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
FRH_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
FRH_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
FRH_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
