GYA_ADJ;Guyaneese;Guyaneese;Guyaneese;;;;;;;;;;;x;
GYA;Guyana;Guyana;Guyana;;;;;;;;;;;x;
GYA_proletarian_dictatorship;Guyana;Guyana;Guyana;;;;;;;;;;;x;
GYA_presidential_dictatorship;Guyana;Guyana;Guyana;;;;;;;;;;;x;
GYA_bourgeois_dictatorship;Guyana;Guyana;Guyana;;;;;;;;;;;x;
GYA_fascist_dictatorship;Guyana;Guyana;Guyana;;;;;;;;;;;x;
GYA_absolute_monarchy;Guyana;Guyana;Guyana;;;;;;;;;;;x;
GYA_prussian_constitutionalism;Guyana;Guyana;Guyana;;;;;;;;;;;x;
GYA_hms_government;Guyana;Guyana;Guyana;;;;;;;;;;;x;
GYA_democracy;Guyana;Guyana;Guyana;;;;;;;;;;;x;
GYA_theocracy;Guyana;Guyana;Guyana;;;;;;;;;;;x;
GYA_merchant_republic;Guyana;Guyana;Guyana;;;;;;;;;;;x;
GYA_feudal_monarchy;Guyana;Guyana;Guyana;;;;;;;;;;;x;
GYA_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
GYA_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
GYA_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
GYA_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
GYA_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
GYA_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
GYA_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
GYA_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
GYA_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
