MND_ADJ;Ming;Ming;Ming;;;;;;;;;;;x;
MND;Ming Dynasty;Ming Dynasty;Ming Dynasty;;;;;;;;;;;x;
MND_proletarian_dictatorship;Yellow Turban Government;Yellow Turban Government;Yellow Turban Government;;;;;;;;;;;x;
MND_presidential_dictatorship;Republic of China;Republic of China;Republic of China;;;;;;;;;;;x;
MND_bourgeois_dictatorship;Republic of China;Republic of China;Republic of China;;;;;;;;;;;x;
MND_fascist_dictatorship;Middle Empire;Middle Empire;Middle Empire;;;;;;;;;;;x;
MND_absolute_monarchy;Ming Dynasty;Ming Dynasty;Ming Dynasty;;;;;;;;;;;x;
MND_prussian_constitutionalism;Republic of China;Republic of China;Republic of China;;;;;;;;;;;x;
MND_hms_government;Republic of China;Republic of China;Republic of China;;;;;;;;;;;x;
MND_democracy;Republic of China;Republic of China;Republic of China;;;;;;;;;;;x;
MND_theocracy;Middle Empire;Middle Empire;Middle Empire;;;;;;;;;;;x;
MND_merchant_republic;Republic of China;Republic of China;Republic of China;;;;;;;;;;;x;
MND_feudal_monarchy;Ming Dynasty;Ming Dynasty;Ming Dynasty;;;;;;;;;;;x;
MND_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
MND_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
MND_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
MND_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
MND_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
MND_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
MND_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
MND_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
MND_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
