NDS_ADJ;Nederic;Nederic;Nederic;;;;;;;;;;;x;
NDS;Nederstaten;Nederstaten;Nederstaten;;;;;;;;;;;x;
NDS_proletarian_dictatorship;Nederstaten;Nederstaten;Nederstaten;;;;;;;;;;;x;
NDS_presidential_dictatorship;Nederstaten;Nederstaten;Nederstaten;;;;;;;;;;;x;
NDS_bourgeois_dictatorship;Nederstaten;Nederstaten;Nederstaten;;;;;;;;;;;x;
NDS_fascist_dictatorship;Nederstaten;Nederstaten;Nederstaten;;;;;;;;;;;x;
NDS_absolute_monarchy;Nederstaten;Nederstaten;Nederstaten;;;;;;;;;;;x;
NDS_prussian_constitutionalism;Nederstaten;Nederstaten;Nederstaten;;;;;;;;;;;x;
NDS_hms_government;Nederstaten;Nederstaten;Nederstaten;;;;;;;;;;;x;
NDS_democracy;Nederstaten;Nederstaten;Nederstaten;;;;;;;;;;;x;
NDS_theocracy;Nederstaten;Nederstaten;Nederstaten;;;;;;;;;;;x;
NDS_merchant_republic;Nederstaten;Nederstaten;Nederstaten;;;;;;;;;;;x;
NDS_feudal_monarchy;Nederstaten;Nederstaten;Nederstaten;;;;;;;;;;;x;
NDS_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
NDS_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
NDS_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
NDS_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
NDS_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
NDS_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
NDS_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
NDS_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
NDS_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
