NVR_ADJ;Britannic;Britannic;Britannic;;;;;;;;;;;x;
NVR;Nova Roma;Nova Roma;Nova Roma;;;;;;;;;;;x;
NVR_proletarian_dictatorship;Nova Roma;Nova Roma;Nova Roma;;;;;;;;;;;x;
NVR_presidential_dictatorship;Nova Roma;Nova Roma;Nova Roma;;;;;;;;;;;x;
NVR_bourgeois_dictatorship;Nova Roma;Nova Roma;Nova Roma;;;;;;;;;;;x;
NVR_fascist_dictatorship;Nova Roma;Nova Roma;Nova Roma;;;;;;;;;;;x;
NVR_absolute_monarchy;Nova Roma;Nova Roma;Nova Roma;;;;;;;;;;;x;
NVR_prussian_constitutionalism;Nova Roma;Nova Roma;Nova Roma;;;;;;;;;;;x;
NVR_hms_government;Nova Roma;Nova Roma;Nova Roma;;;;;;;;;;;x;
NVR_democracy;Nova Roma;Nova Roma;Nova Roma;;;;;;;;;;;x;
NVR_theocracy;Nova Roma;Nova Roma;Nova Roma;;;;;;;;;;;x;
NVR_merchant_republic;Nova Roma;Nova Roma;Nova Roma;;;;;;;;;;;x;
NVR_feudal_monarchy;Nova Roma;Nova Roma;Nova Roma;;;;;;;;;;;x;
NVR_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
NVR_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
NVR_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
NVR_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
NVR_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
NVR_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
NVR_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
NVR_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
NVR_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
