PSN_ADJ;Posen-Polish;Posen-Polish;Posen-Polish;;;;;;;;;;;x;
PSN;Posen;Posen;Posen;;;;;;;;;;;x;
PSN_proletarian_dictatorship;Posen;Posen;Posen;;;;;;;;;;;x;
PSN_presidential_dictatorship;Posen;Posen;Posen;;;;;;;;;;;x;
PSN_bourgeois_dictatorship;Posen;Posen;Posen;;;;;;;;;;;x;
PSN_fascist_dictatorship;Posen;Posen;Posen;;;;;;;;;;;x;
PSN_absolute_monarchy;Posen;Posen;Posen;;;;;;;;;;;x;
PSN_prussian_constitutionalism;Posen;Posen;Posen;;;;;;;;;;;x;
PSN_hms_government;Posen;Posen;Posen;;;;;;;;;;;x;
PSN_democracy;Posen;Posen;Posen;;;;;;;;;;;x;
PSN_theocracy;Posen;Posen;Posen;;;;;;;;;;;x;
PSN_merchant_republic;Posen;Posen;Posen;;;;;;;;;;;x;
PSN_feudal_monarchy;Posen;Posen;Posen;;;;;;;;;;;x;
PSN_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
PSN_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
PSN_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
PSN_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
PSN_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
PSN_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
PSN_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
PSN_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
PSN_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
