RDF_ADJ;Valcouran;Valcouran;Valcouran;;;;;;;;;;;x;
RDF;Valcour;Valcour;Valcour;;;;;;;;;;;x;
RDF_proletarian_dictatorship;Valcour;Valcour;Valcour;;;;;;;;;;;x;
RDF_presidential_dictatorship;Valcour;Valcour;Valcour;;;;;;;;;;;x;
RDF_bourgeois_dictatorship;Valcour;Valcour;Valcour;;;;;;;;;;;x;
RDF_fascist_dictatorship;Valcour;Valcour;Valcour;;;;;;;;;;;x;
RDF_absolute_monarchy;Valcour;Valcour;Valcour;;;;;;;;;;;x;
RDF_prussian_constitutionalism;Valcour;Valcour;Valcour;;;;;;;;;;;x;
RDF_hms_government;Valcour;Valcour;Valcour;;;;;;;;;;;x;
RDF_democracy;Valcour;Valcour;Valcour;;;;;;;;;;;x;
RDF_theocracy;Valcour;Valcour;Valcour;;;;;;;;;;;x;
RDF_merchant_republic;Valcour;Valcour;Valcour;;;;;;;;;;;x;
RDF_feudal_monarchy;Valcour;Valcour;Valcour;;;;;;;;;;;x;
RDF_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
RDF_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
RDF_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
RDF_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
RDF_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
RDF_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
RDF_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
RDF_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
RDF_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
