SHN_ADJ;Sekai;Sekai;Sekai;;;;;;;;;;;x;
SHN;Shin Sekai;Shin Sekai;Shin Sekai;;;;;;;;;;;x;
SHN_proletarian_dictatorship;Shin Sekai;Shin Sekai;Shin Sekai;;;;;;;;;;;x;
SHN_presidential_dictatorship;Shin Sekai;Shin Sekai;Shin Sekai;;;;;;;;;;;x;
SHN_bourgeois_dictatorship;Shin Sekai;Shin Sekai;Shin Sekai;;;;;;;;;;;x;
SHN_fascist_dictatorship;Shin Sekai;Shin Sekai;Shin Sekai;;;;;;;;;;;x;
SHN_absolute_monarchy;Shin Sekai;Shin Sekai;Shin Sekai;;;;;;;;;;;x;
SHN_prussian_constitutionalism;Shin Sekai;Shin Sekai;Shin Sekai;;;;;;;;;;;x;
SHN_hms_government;Shin Sekai;Shin Sekai;Shin Sekai;;;;;;;;;;;x;
SHN_democracy;Shin Sekai;Shin Sekai;Shin Sekai;;;;;;;;;;;x;
SHN_theocracy;Shin Sekai;Shin Sekai;Shin Sekai;;;;;;;;;;;x;
SHN_merchant_republic;Shin Sekai;Shin Sekai;Shin Sekai;;;;;;;;;;;x;
SHN_feudal_monarchy;Shin Sekai;Shin Sekai;Shin Sekai;;;;;;;;;;;x;
SHN_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
SHN_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
SHN_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
SHN_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
SHN_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
SHN_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
SHN_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
SHN_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
SHN_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
