SUR_ADJ;Surian;Surian;Surian;;;;;;;;;;;x;
SUR;Suria;Suria;Suria;;;;;;;;;;;x;
SUR_proletarian_dictatorship;Suria;Suria;Suria;;;;;;;;;;;x;
SUR_presidential_dictatorship;Suria;Suria;Suria;;;;;;;;;;;x;
SUR_bourgeois_dictatorship;Suria;Suria;Suria;;;;;;;;;;;x;
SUR_fascist_dictatorship;Suria;Suria;Suria;;;;;;;;;;;x;
SUR_absolute_monarchy;Suria;Suria;Suria;;;;;;;;;;;x;
SUR_prussian_constitutionalism;Suria;Suria;Suria;;;;;;;;;;;x;
SUR_hms_government;Suria;Suria;Suria;;;;;;;;;;;x;
SUR_democracy;Suria;Suria;Suria;;;;;;;;;;;x;
SUR_theocracy;Suria;Suria;Suria;;;;;;;;;;;x;
SUR_merchant_republic;Suria;Suria;Suria;;;;;;;;;;;x;
SUR_feudal_monarchy;Suria;Suria;Suria;;;;;;;;;;;x;
SUR_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
SUR_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
SUR_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
SUR_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
SUR_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
SUR_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
SUR_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
SUR_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
SUR_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
