UMA_ADJ;Umayyad;Umayyad;Umayyad;;;;;;;;;;;x;
UMA;Umayyad Caliphate;Umayyad Caliphate;Umayyad Caliphate;;;;;;;;;;;x;
UMA_proletarian_dictatorship;Umayyad Caliphate;Umayyad Caliphate;Umayyad Caliphate;;;;;;;;;;;x;
UMA_presidential_dictatorship;Umayyad Caliphate;Umayyad Caliphate;Umayyad Caliphate;;;;;;;;;;;x;
UMA_bourgeois_dictatorship;Umayyad Caliphate;Umayyad Caliphate;Umayyad Caliphate;;;;;;;;;;;x;
UMA_fascist_dictatorship;Umayyad Caliphate;Umayyad Caliphate;Umayyad Caliphate;;;;;;;;;;;x;
UMA_absolute_monarchy;Umayyad Caliphate;Umayyad Caliphate;Umayyad Caliphate;;;;;;;;;;;x;
UMA_prussian_constitutionalism;Umayyad Caliphate;Umayyad Caliphate;Umayyad Caliphate;;;;;;;;;;;x;
UMA_hms_government;Umayyad Caliphate;Umayyad Caliphate;Umayyad Caliphate;;;;;;;;;;;x;
UMA_democracy;Umayyad Caliphate;Umayyad Caliphate;Umayyad Caliphate;;;;;;;;;;;x;
UMA_theocracy;Umayyad Caliphate;Umayyad Caliphate;Umayyad Caliphate;;;;;;;;;;;x;
UMA_merchant_republic;Umayyad Caliphate;Umayyad Caliphate;Umayyad Caliphate;;;;;;;;;;;x;
UMA_feudal_monarchy;Umayyad Caliphate;Umayyad Caliphate;Umayyad Caliphate;;;;;;;;;;;x;
UMA_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
UMA_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
UMA_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
UMA_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
UMA_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
UMA_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
UMA_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
UMA_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
UMA_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
